단원명,문제번호,문제,정답,해설
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",39,임차인이 전입신고를 올바르게 하고 입주했으나 공무원이 착오 로 지번을 잘못 기재하였다면 정정될 때까지 대항력이 생기지 않는다.,X,"전입신고를 올바르게 했기 때문에 공무원 이 착오로 잘못 기재했어도 대항력은 있 어요. 다만, 처음엔 올바르게 전입신고서 를 제출했으나 공무원의 착오로 수정을 요구하여 잘못된 지번으로 수정하고 다시 주민등록을 한 경우는 대항력이 없어요."
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",40,다가구용 단독주택을 임차하여 대항력을 취득한 후에 그 주택 이 다세대주택으로 변경된 사정만으로는 임차인의 대항력이 상 실하는 것은 아니다.,O,유명한 판례죠.
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",41,대항력을 갖춘 임차인이라도 저당권설정등기 이후 증액된 임차 보증금에 관하여는 저당권에 기해 주택을 경락받은 소유자에게 대항할 수 없다.,O,저당권 등기 이후에 증액된 부분은 경락 인에게 대항할 수 없어요
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",42,임차인은 선순위의 저당권자에 의하여 경매가 이루어진 경우 보증금을 모두 변제받을 때까지 임차권의 존속을 주장할 수 있다.,X,선순위 저당권 밑에 있는 임차인이기 때 문에 경매되면 후순위 임차권은 소멸하고 경락인에게 대항할 수 없어요
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",43,임차인이 주택의 인도를 받고 주민등록을 마친 날과 제3자의 저당권설정 등기일이 같은 날이면 임차인은 저당권의 실행으로 그 주택을 취득한 매수인에게 대항하지 못한다.,O,대항력은 주민등록을 한 다음 날 발생하 니 저당권이 선순위라서 대항할 수 없죠
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",44,주택임차인이 별도로 전세권설정등기를 마쳤더라도 주택임대 차보호법상의 대항요건을 상실하면 이미 취득한 동법상의 대 항력을 상실한다.,O,임차권과 전세권은 별개의 권리이므로 대항 요건을 상실하면 주임법 상 대항력은 상실 하는 것이지 전세권으로 인해 기존의 대항 력이 유지되는 것은 아니라는 내용이에요
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",45,임차권등기 없이 우선변제청구권이 인정되는 소액임차인의 소 액보증금반환채권은 배당요구가 필요한 배당요구채권에 해당 하지 않는다.,X,등기되지 않은 임차인이라서 배당요구를 해야 배당을 받을 수 있어요
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",46,"임차권등기가 첫 경매개시결정등기 전에 등기된 경우, 임차인 이 별도의 배당요구를 하지 않아도 배당받을 채권자에 속한다.",O,"등기되지 않은 대항력 및 확정일자를 갖 춘임차인은 배당요구를 해야 배당받을 수 있는데, 임차권등기명령을 통해 등기 가 되면 배당요구를 하지 않아도 배당받 을 수 있어요"
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",47,소액임차인의 최우선변제권은 주택가액(대지가액 포함)의 3분 의 1에 해당하는 금액까지만 인정된다.,X,2분의 1까지 인정되죠
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",48,임차인이 임차주택에 대하여 보증금반환청구소송의 확정판결 에 따라 경매를 신청하는 경우 반대의무의 이행이나 이행의 제 공을 집행개시의 요건으로 하지 아니한다.,O,경매신청을 할 때는 방을 안 때도 된다는 말이죠
"1-4. 주택임대차보호법- 보호대상, 대항력, 우선변제권",49,임대차계약을 체결하려는 자는 임차인의 동의를 받아 확정일자 부여기관에 해당 주택의 확정일자 부여일 정보의 제공을 요청 할 수 있다.,X,"임대인의 동의를 받아… 그리고 임대차 계약을 체결하려는 자는 임대인과 임차인 의 인적 사항은 요청할 수 없어요. 확정일 자부여일, 차임, 보증금, 임대차기간에 대해 정보의 제공을 요청할 수 있지요."
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",50,"임대차계약이 묵시적으로 갱신된 경우, 임차인은 임대차계약의 존속기간이 2년이라고 주장할 수 있다.",O,임차인만 2년을 주장할 수 있어요.
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",51,"임대차계약이 묵시적으로 갱신된 경우, 임대인은 언제든지 임 차인에게 계약해지를 통지할 수 있다.",X,"임대차계약이 묵시적으로 갱신된 경우, 임대인은 언제든지 임 차인에게 계약해지를 통지할 수 있다."
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",52,임차인은 최초의 임대차기간을 포함한 전체 임대차기간이 10년 을 초과하지 아니하는 범위에서 계약갱신요구권을 행사할 수 있다.,X,"0년까지 할 수 있는 것은 상가이고, 주택 은 1회만 할 수 있고 2년으로 본다."
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",53,임차인이 계약갱신요구권을 행사하여 임대차계약이 갱신된 우 임대인은 차임을 증액할 수 없다.,X,20분의 1까지 증액청구 할 수 있어요.
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",54,임차인이 임대인에게 계약갱신요구권을 행사하여 계약이 갱신 된 경우 임차인은 언제든지 임대인에게 계약해지를 통지할 수 있다.,O,계약갱신요구권 행사로 갱신된 경우 및 묵시적 갱신된 경우 모두 임차인만 언제 든지 계약의 해지를 통지할 수 있어요.
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",55,차임 등의 증액청구에 대한 제한규정은 임대차계약이 종료된 후 재계약을 하는 경우에도 적용된다.,X,20분의 1증액청구제한은 재계약시에는 적용되지 않아요.
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",56,당사자의 합의로 임대차계약기간을 1년으로 정한 경우에 임차 인은 그 기간이 유효함을 주장할 수 있다.,O,.임차인만 2년 미만의 유효함을 주장할 수 있죠
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",57,이행지체에 빠진 임대인의 보증금반환의무는 임차권등기명령 에 의하여 등기된 임차권등기의 말소의무보다 먼저 이행되어야 한다.,O,임대인이 이미 이행지체에 빠진 상태이니 당연히 그래야죠
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",58,임차권등기명령에 따라 등기되었더라도 임차인이 주택의 점유 를 상실하면 대항력을 잃는다.,X,등기된 후에는 점유를 상실해도 기존의 대항력과 우선변제권은 그대로 유지되죠
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",59,확정일자 없이 대항요건만을 갖춘 임차인은 임차권등기명령에 의해 임차권 등기가 경료되더라도 우선변제권을 취득하지 못한다.,X,"임차권등기명령에 따른 등기가 되면 대항 력과 우선변제권이 없는 임차인은 두가 지 모두 발생하며, 대항력만 있었던 임차 인은 우선변제권을 취득해요."
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",60,임차권등기명령의 집행에 따른 임차권등기가 끝난 주택을 그 이후에 임차한 임차인은 보증금 중 일정액을 다른 담보물권자 보다 우선하여 변제받을 권리가 없다.,O,임차권등기명령에 따라 등기된 주택을 그 이후에 들어온 임차인은 최우선변제권이 인정되지 않는다는 말이에요.
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",61,"임차인은 임차권등기와 관련하여 든 비용을 임대인에게 청구할 수 있으나, 임차권등기명령 신청과 관련하여 든 비용은 청구할 수없다.",X,임차권등기명령의 신청비용 및 등기와 관 련하여 든 비용을 모두 임대인에게 청구 할 수 있어요.
"1-5. 주택임대차보호법-갱신요구권, 임차권 등기명령",62,임차인이 상속권자 없이 사망한 경우 그 주택에서 가정공동생 활을 하던 사실상의 혼인관계에 있는 자는 임차인이 사망한 후 1개월 이내에 임대인에 대하여 반대의사를 표시하지 않는 한 임 차인의 권리와 의무를 승계한다.,O,그렇죠.
1-6. 상가건물 임대차보호법(환산보증금 이하),63,사업자등록을 마친 임차인이 폐업신고를 하였다가 다시 같은 상호 및 등록번호로 사업자등록을 한 경우 상가건물 임대차 보호법상의 대항력 및 우선변제권은 그대로 존속한다.,X,그럴리가요.
1-6. 상가건물 임대차보호법(환산보증금 이하),64,임차인이 상가건물의 일부를 임차하는 경우 대항력을 갖추기 위한 요건의 하나로 사업자등록 신청시 임차부분을 표시한 도 면을 첨부해야한다.,O,판례예요.
1-6. 상가건물 임대차보호법(환산보증금 이하),65,상가건물의 임대차를 등기한 때에는 그 다음 날부터 제3자에 대하여 효력이 생긴다.,X,"사업자등록을 신청하는 경우는 다음 날 대항력이 생기고, 등기를 하는 경우는 등 기한 날부터 효력이 있는 것이죠."
1-6. 상가건물 임대차보호법(환산보증금 이하),66,임차인이 임대인의 동의 없이 목적 건물의 일부를 전대한 경우 에는 임대인은 임차인의 계약갱신요구를 거절할 수 있다.,O,임대인 동의 없이 전부 또는 일부를 전대 하는 경우는 갱신거절사유예요.
1-6. 상가건물 임대차보호법(환산보증금 이하),67,"임차인이 2기의 차임액에 해당하는 금액에 이르도록 차임을 연 체한 사실이 있는 경우, 임대인은 임차인의 계약갱신요구를 거 절할 수 있다.",X,"주임법은 2기, 상임법은3기"
1-6. 상가건물 임대차보호법(환산보증금 이하),68,임차인은 계약갱신요구권을 1회에 한하여 행사할 수 있으며 존 속기간은 2년으로 본다.,X,최초 기간 포함 10년까지 할 수 있고 횟수 의 제한은 없어요.
1-6. 상가건물 임대차보호법(환산보증금 이하),69,임대인의 동의를 받고 전대차계약을 체결한 전차인은 임차인의 계약갱신요구권 행사기간 이내에 임차인을 대위하여 임대인에 게 계약갱신요구권을 행사할 수 있다.,O,임차인이 행사할 수 있는 기간의 범위에 서 임차인을 대위해서만 가능해요.
1-6. 상가건물 임대차보호법(환산보증금 이하),70,갱신되는 임대차는 전(前) 임대차와 동일한 조건으로 다시 계약 된 것으로 보므로 차임과 보증금은 변경할 수 없다.,X,"증액청구를 할 수 있는데 환산보증금 범 위내에서는 100분의 5이내에서 가능하 고, 환산보증금 초과되면 증액청구제한이 없어요."
1-6. 상가건물 임대차보호법(환산보증금 이하),71,"임차인은 대항력과 확정일자를 갖춘 경우, 경매에 의해 매각된 임차건물을 양수인에게 인도하지 않더라도 배당에서 보증금을 수령할 수 있다.",X,"임차인이 강제경매를 신청할 때에는 건물 을 양수인에게 인도하지 않고 신청할 수 있지만, 임차건물을 양수인에게 인도하지 않으면 경매에서 배당을 받을 수는 없어요."
1-6. 상가건물 임대차보호법(환산보증금 이하),72,보증금이 전액 변제되지 아니한 대항력이 있는 임차권은 임차 건물에 대하여 민사집행법에 따른 경매가 실시된 경우에 그 임차건물이 매각되면 소멸한다.,X,보증금이 모두 변제되지 않은 대항력 있 는 임차권은 경매로 소멸하지 않아요.
1-6. 상가건물 임대차보호법(환산보증금 이하),73,임대차계약을 체결하려는 자는 임대인의 동의를 얻어 관할 세 무서장에게 임대인·임차인의 인적 사항이 기재된 서면의 열람 을 요청할 수 있다.,X,임대차계약을 체결하려는 자와 임대차계 약의 당사자가 아닌 이해관계인은 인적 사 항의 요청은 할 수 없고 임대차계약을 체 결하려는 자는 임대인의 동의가 필요해요.
1-6. 상가건물 임대차보호법(환산보증금 이하),74,임차인은 임차권등기명령의 신청 및 그에 따른 임차권 등기와 관련하여 지출한 비용을 임대인에게 청구할 수 있다.,O,신청비용 및 등기비용 모두 청구
1-6. 상가건물 임대차보호법(환산보증금 이하),75,"차임이 경제사정의 침체로 상당하지 않게 된 경우, 당사자는 장 래의 차임 감액을 청구할 수 있다.",O,"증액, 감액 모두 청구할 수 있는데 증액만 100분의 5로 제한해요. 그러나 환산보증 금을 초과하는 경우에는 100분의 5를 초 과할 수도 있죠."
1-6. 상가건물 임대차보호법(환산보증금 이하),76,차임 또는 보증금의 증액을 하는 경우 약정한 차임 또는 보증금 의 100분의 5를 초과하지 못한다.,O,환산보증금 이하는 5% 이하로 제한
1-6. 상가건물 임대차보호법(환산보증금 이하),77,"임대차 기간을 6개월로 정한 경우, 임차인은 그 유효함을 주장 할 수 없다.",X,환산보증금 이하에서 임차인만 1년 미만의 유효함 주장할 수 있고 임대인은 안돼요
1-6. 상가건물 임대차보호법(환산보증금 이하),78,임차인의 차임연체액이 3기의 차임액에 달하는 때에는 임대인 은 계약을 해지할 수 있다.,O,2기가 아니라 3기라는 것을 주의해요.
1-6. 상가건물 임대차보호법(환산보증금 이하),79,국토교통부장관은 권리금에 대한 감정평가의 절차와 방법 등에 관한 기준을 고시할 수 있다.,O,권리금 뜨면 국토교통부장관~
1-6. 상가건물 임대차보호법(환산보증금 이하),80,국토교통부장관은 법무부장관과 협의를 거쳐 표준권리금계약 서를 정하여 그 사용을 권장할 수 있다.,O,권리금 뜨면 국토교통부장관~
1-7. 상가건물 임대차보호법(환산보증금 초과),81,甲으로부터 X건물을 양수한 丙은 甲의 지위를 승계한 것으로 본다. 임대인甲이며 임차인乙 계약기간은 8개월 ,O,대항력 인정돼요. 표준계약서3권대요
1-7. 상가건물 임대차보호법(환산보증금 초과),82,"건물이 경매로 매각된 경우, 확정일자를 갖춘 乙은 자신의 보증 금을 후순위 저당권자보다 우선하여 변제받을 수 있다. . 임대인甲이며 임차인乙 계약기간은 8개월 ",X,우선변제권은 인정 안돼요.
1-7. 상가건물 임대차보호법(환산보증금 초과),83,乙은 최초의 임대차기간을 포함한 전체 임대차기간이 10년을 초과하지 않는 범위에서 甲에게 계약의 갱신을 요구할 수 있다. . 임대인甲이며 임차인乙 계약기간은 8개월 ,O,계약갱신요구권인정돼요.
1-7. 상가건물 임대차보호법(환산보증금 초과),84,乙의 계약갱신요구권에 따라 갱신되는 임대차는 전 임대차와 동일한 조건으로 다시 계약된 것으로 본다. . 임대인甲이며 임차인乙 계약기간은 8개월 ,O,계약갱신요구권 인정되니까요.
1-7. 상가건물 임대차보호법(환산보증금 초과),85,乙.의 갱신요구에 따라 계약이 갱신된 경우 甲은 주변 상가건물 의 차임 등 경제사정의 변동을 이유로 乙에게 차임의 100분의 5를 초과하여 증액을 요청할 수 있다. . 임대인甲이며 임차인乙 계약기간은 8개월 ,O,환산보증금 초과인 경우 5% 초과 증액 가 능해요.
1-7. 상가건물 임대차보호법(환산보증금 초과),86,"임대차종료 후 보증금이 반환되지 않은 경우, 乙은 건물 소재지 관할법원에 임차권등기명령을 신청할 수 있다. . 임대인甲이며 임차인乙 계약기간은 8개월 ",X,환산보증금 초과인 경우 임차권등기명령 을 신청할 수 없어요.
1-7. 상가건물 임대차보호법(환산보증금 초과),87,甲과 乙의 임대차 기간은 1년으로 본다.  임대인甲이며 임차인乙 계약기간은 8개월 ,X,환산보증금 초과인 경우 1년 미만으로 약 정한 경우는 1년으로 본다는 규정은 적용 되지 않아요.
1-7. 상가건물 임대차보호법(환산보증금 초과),88,甲은 8개월로 정한 기간이 유효함을 주장할 수 있다. 임대인甲이며 임차인乙 계약기간은 8개월 ,O,임대인과 임차인 모두 1년 미만의 유효함 을 주장할 수 있어요.
1-7. 상가건물 임대차보호법(환산보증금 초과),89,"계약이 묵시적으로 갱신된 경우, 그 기간은 1년으로 본다. 임대인甲이며 임차인乙 계약기간은 8개월 ",X,환산보증금 초과에서 묵시적 갱신은 민법 을 적용하니 기간의 정함이 없는 것으로 본다.
1-7. 상가건물 임대차보호법(환산보증금 초과),90,계약이 묵시적으로 갱신된 경우 甲은 언제든지 乙에게 계약의 해지를 통고할 수 있다. 임대인甲이며 임차인乙 계약기간은 8개월 ,O,환산보증금 초과에서 묵시적 갱신은 민법 을 적용하니 임대인과 임차인 모두 계약 의 해지를 통고할 수 있어요.
1-7. 상가건물 임대차보호법(환산보증금 초과),91,위 임대차인 경우에도 상가건물 임대차보호법상 권리금에 관 한 규정이 적용된다. 임대인甲이며 임차인乙 계약기간은 8개월 ,O,표준계약서 3권 대요
2-1. 경매절차,92,강제경매신청을 기각하거나 각하하는 재판에 대하여는 즉시항 고를 할 수 있다.,O,지문처럼 익혀두세요.
2-1. 경매절차,93,경매개시결정을 한 부동산에 대하여 다른 강제경매의 신청이 있는 때에는 법원은 뒤의 경매신청을 각하해야 한다.,X,"법원은 다시 경매개시결정을 하고, 먼저 경매개시결정을 한 집행절차에 따라 경매 한다."
2-1. 경매절차,94,경매개시결정등기가 된 때 또는 경매개시결정송달이 된 때 압 류의 효력이 발생된다. ,O,또는'이 '및'으로 바뀌면 틀려요.
2-1. 경매절차,95,제3자는 권리를 취득할 때에 경매신청 또는 압류가 있다는 것 을 알았을 경우에도 압류에 대항할 수 있다.,X,제3자는 권리를 취득할 때에 경매신청 또 는 압류가 있다는 것을 알았을 경우에는 압류에 대항하지 못해요.
2-1. 경매절차,96,경매신청이 취하되면 압류의 효력은 소멸된다. ,O,채무변제하고 취하되면 압류는 소멸
2-1. 경매절차,97,매수신고가 있은 후에는 경매신청이 취하되더라도 그 경매신청 으로 발생된 압류의 효력은 소멸되지 않는다.,X,수신고(입찰)가 있은 뒤에는 최고가와 차 순위의 동의를 얻으면 취하할 수 있으므로 매수신고가 있은 뒤에도 동의를 얻어 경매 가 취하되면 압류의 효력은 소멸되죠.
2-1. 경매절차,98,민법·상법그 밖의 법률에 의하여 우선변제청구권이 있는 채권자는 매각결정기일까지 배당요구를 할 수 있다.,X,"배당요구 종기는 ‘첫 매각기일 이전'으로 정 해요. 예전에 개정되기 전에는 '매각결정기 일'까지 배당요구를 할 수 있었기 때문에 출 제된 지문이니, 틀린 지문을 익혀야 해요."
2-1. 경매절차,99,집행법원은 배당요구의 종기를 첫 매각기일 이전으로 정한다.,O,이렇게 하면 맞는 거예요.
2-1. 경매절차,100,경매개시결정이 등기된 뒤에 가압류를 한 채권자는 배당요구를 할 수 있다.,O,가압류는 원래 배당요구를 하지 않아도 되지만 경매등기 이후의 가압류는 배당요 구를 해야 배당받을 수 있거든요.
2-1. 경매절차,101,부동산의 매각은 호가경매 기일입찰 또는 기간입찰 의세 가지 방법 중 집행법원이 정한 방법에 따른다.,O,세가지 방법 중 법원이 선택해요.
2-1. 경매절차,102,기일입찰에서 매수신청인은 보증으로 매수가격의 10분의 1에 해당하는 금액을 집행관에게 제공해야 한다. ,X,워낙 잘 나오는 지문이잖아요. '최저매각 가격의 10분의 1’이죠.
2-1. 경매절차,103,차순위매수신고는 그 신고액이 최고가매수신고액에서 그 보증 액을 뺀 금액을 넘지 않는 때에만 할 수 있다.,X,최고가액에서 매수신청 보증금을 뺀 금액 을 넘는 때만 할 수 있어요.
2-1. 경매절차,104,매각결정기일은 매각기일부터 1주 내로 정해야 한다.,O,매각기일 종료 후 1주 이내로 매각결정기 일을 잡아 허가 또는 불허가 결정을 해요.
2-1. 경매절차,105,토지거래허가 대상 토지를 경매로 취득하려는 경우 토지거래허 가를 받아야한다.,X,경매는 '농취증'만 받는다. 부동산거래신 고도하지 않아요.
2-1. 경매절차,106,농지경매의 경우 매수신고시 농지취득자격증명을 제출해야 한다.,X,이렇게 틀리게 잘 나와요. 입찰할 때 내는 게아녜요. 농취증을 매각결정기일까지 제출해야 매각허가를 받을 수 있어요. 허 가를 받을 수 있는 조건이죠.
