단원명,문제번호,문제,정답,해설
1-4. 신고절차,34,시장·군수 또는 구청장은 부동산거래가격 검증체계를 구축· 운영해야 한다.,X,토교통부장관이 구축·운영해요.
1-4. 신고절차,35,신고를 받은 신고관청은 신고내용을 확인한 후 신고필증을 신 고인에게 지체 없이 발급해야 한다.,O,신고필증은 '지체 없이' 발급
1-5거래계약 신고서 작성법,36,거래당사자가 다수인 경우 매수인 또는 매도인의 주소란에 각 자의 거래 지분 비율을 표시해야 한다.,O,성명란이 아님을 주의하세요.
1-5거래계약 신고서 작성법,37,거래당사자가 외국인인 경우 거래당사자의 국적을 반드시 적어 야한다.,O,외국인은 국적을 꼭 기재해야 해요.
1-5거래계약 신고서 작성법,38,외국인은 신고서 작성시 대한민국 국민과 달리 부동산 등 매수 용도를 표시해야한다.,O,역시 신고서 작성방법인데 잘 출제돼요.
1-5거래계약 신고서 작성법,39,거래대상 부동산의 종류가 건축물인 경우에는 건축법 시행령 에 따른 용도별 건축물의 종류를 적는다.,O,당연하죠.
1-5거래계약 신고서 작성법,40,'거래대상'의 ‘종류'중 '임대주택 분양전환'은 법인이 아닌 임대 주택사업자가 임대기한이 완료되어 분양전환하는 주택인 경우 에√표시를한다.,X,법인인 임대주택사업자라고 해야 맞아요.
1-5거래계약 신고서 작성법,41,거래대상'의 '종류' 중 ‘공급계약은 시행사 또는 건축주 등이 최초로 부동산을 공급(분양)하는 계약을 말한다.,O,"공급계약은 공급(분양)하는 계약일 때표 시하고, 전매는 분양권 또는 입주권을 거 래할 때 표시해요."
1-5거래계약 신고서 작성법,42,건축물 면적은 집합건축물의 경우 전용면적과 공용면적의 합계 면적을 기재한다.,X,공용면적은 빼요. 전용면적만 기재
1-5거래계약 신고서 작성법,43,"계약대상 면적에는 실제 거래면적을 계산하여 적되, 건축물면 적은 집합건축물의 경우 연면적을 적는다.",X,집합건축물은 전용면적을 적고 집합건축 물이 아닌 건축물은 연면적을 적어요.
1-5거래계약 신고서 작성법,44,물건별 거래가격란에는 각각의 부동산별 거래금액을 적는다.,O,합산액을 적는다고 하면 틀려요.
1-5거래계약 신고서 작성법,45,공급계약 또는 전매계약인 경우 ‘물건별 거래가격 및 ‘총 실제 거래가격'란에는 부가가치세를 제외한 금액을 적는다.,X,공급계약 또는 전매는 부가가치세 '포함 그 외의 거래는 부가가치세 제외~
1-5거래계약 신고서 작성법,46,부동산거래계약 신고서의 물건별 거래가격란에 발코니 확장 등 선택 비용에 대한 기재란은 없다.,X,"분양가격, 발코니 확장 등 선택비용 추가 지급액을 각각 적어야 해요."
1-5거래계약 신고서 작성법,47,종전 부동산란은 입주권 매매의 경우에만 작성한다.,O,입주권을 매매하는 경우에는 종전 토지도 함께 매매하기 때문에 종전 부동산에 대 해서도 작성해야 해요. '분양권 매매'라고 하면 틀리니 주의하세요.
1-5거래계약 신고서 작성법,48,"계약의 조건 및 참고사항’란은 부동산 거래계약 내용에 계약조 건이나 기한을 붙인 경우, 거래와 관련한 참고내용이 있을 경우 에 적는다.",O,신고서 작성방법에 있는 내용이에요.
1-6. 부동산거래계약 해제등신고,49,"부동산거래계약 신고서를 제출한 후 해당 부동산 거래계약이 해제된 경우, 거래당사자는 해제 등이 확정된 날부터 30일 이 내에 해당 신고관청에 공동으로 신고해야 한다.",O,해제등신고 의무자는 거래당사자거든요.
1-6. 부동산거래계약 해제등신고,50,부동산 거래신고 후에 매도인이 매매계약을 취소하면 매도인이 단독으로 취소를 신고해야 한다.,X,"해제등신고(해제, 무효 또는 취소의 신고) 는 거래당사자가 공동으로 해야 해요"
1-6. 부동산거래계약 해제등신고,51,개업공인중개사가 매매계약을 신고한 경우에 그 매매계약이 해 제되면 그 개업공인중개사가 해제를 신고해야 한다.,X,개업공인중개사가 해제 등을 신고해야 한 다고 하면 틀려요. 개업공인중개사는해 제등신고의 의무자가 아니에요.
1-6. 부동산거래계약 해제등신고,52,개업공인중개사가 신고한 후 해당 거래계약이 해제된 경우 그 계약을 해제한 거래당사자는 해제가 확정된 날부터 30일 이내 에 해당 신고관청에 단독으로 신고하여야 한다.,X,"해제, 무효 또는 취소의 신고는 거래당사 자가 공동으로 해야 해요."
1-7. 부동산거래계약 정정신청,53,건축물의 종류가 잘못 기재된 경우,O,전주상사 비대종류지지면:당사자의 주소/전화번호 /개공전화번호상호사무소소재지 /지분 비율/대지권비율 /건축물 종류 /지목·거래 지분· 면적
1-7. 부동산거래계약 정정신청,54,중도금 지급일이 잘못 기재된 경우,X,전주상사 비대종류지지면:당사자의 주소/전화번호 /개공전화번호상호사무소소재지 /지분 비율/대지권비율 /건축물 종류 /지목·거래 지분· 면적
1-7. 부동산거래계약 정정신청,55,개업공인중개사의 사무소 소재지가 잘못 기재된 경우,O,전주상사 비대종류지지면:당사자의 주소/전화번호 /개공전화번호상호사무소소재지 /지분 비율/대지권비율 /건축물 종류 /지목·거래 지분· 면적
1-7. 부동산거래계약 정정신청,56,거래가격이 잘못 기재된 경우,X,전주상사 비대종류지지면:당사자의 주소/전화번호 /개공전화번호상호사무소소재지 /지분 비율/대지권비율 /건축물 종류 /지목·거래 지분· 면적
1-7. 부동산거래계약 정정신청,57,거래 지분 비율이 잘못 기재된 경우,O,전주상사 비대종류지지면:당사자의 주소/전화번호 /개공전화번호상호사무소소재지 /지분 비율/대지권비율 /건축물 종류 /지목·거래 지분· 면적
1-7. 부동산거래계약 정정신청,58,매수인의 성명이 잘못 기재된 경우,X,전주상사 비대종류지지면:당사자의 주소/전화번호 /개공전화번호상호사무소소재지 /지분 비율/대지권비율 /건축물 종류 /지목·거래 지분· 면적
1-7. 부동산거래계약 정정신청,59,부동산 등의 소재지·지번이 잘못 기재된 경우,X,전주상사 비대종류지지면:당사자의 주소/전화번호 /개공전화번호상호사무소소재지 /지분 비율/대지권비율 /건축물 종류 /지목·거래 지분· 면적
1-8. 부동산거래계약 변경신고,60,거래 지분 비율의 변경,O,비지면 조가중잔 제외 위:거래 지분비율/거래 지분/면적/조건기한/가격/중도금잔금지급일/일부 매수인의 변경(일부제외)/부동산 일부가 제외되는 경우)/위탁관리인의 인적 사항
1-8. 부동산거래계약 변경신고,61,거래 지분의 변경,O,비지면 조가중잔 제외 위:거래 지분비율/거래 지분/면적/조건기한/가격/중도금잔금지급일/일부 매수인의 변경(일부제외)/부동산 일부가 제외되는 경우)/위탁관리인의 인적 사항
1-8. 부동산거래계약 변경신고,62,거래대상 부동산의 면적의 변경,O,비지면 조가중잔 제외 위:거래 지분비율/거래 지분/면적/조건기한/가격/중도금잔금지급일/일부 매수인의 변경(일부제외)/부동산 일부가 제외되는 경우)/위탁관리인의 인적 사항
1-8. 부동산거래계약 변경신고,63,거래가격의 변경,O,비지면 조가중잔 제외 위:거래 지분비율/거래 지분/면적/조건기한/가격/중도금잔금지급일/일부 매수인의 변경(일부제외)/부동산 일부가 제외되는 경우)/위탁관리인의 인적 사항
1-8. 부동산거래계약 변경신고,64,중도금 및 지급일의 변경,O,비지면 조가중잔 제외 위:거래 지분비율/거래 지분/면적/조건기한/가격/중도금잔금지급일/일부 매수인의 변경(일부제외)/부동산 일부가 제외되는 경우)/위탁관리인의 인적 사항
1-8. 부동산거래계약 변경신고,65,계약의 기한 변경,O,비지면 조가중잔 제외 위:거래 지분비율/거래 지분/면적/조건기한/가격/중도금잔금지급일/일부 매수인의 변경(일부제외)/부동산 일부가 제외되는 경우)/위탁관리인의 인적 사항
1-8. 부동산거래계약 변경신고,66,공동매수의 경우 매수인의 추가,X,비지면 조가중잔 제외 위:거래 지분비율/거래 지분/면적/조건기한/가격/중도금잔금지급일/일부 매수인의 변경(일부제외)/부동산 일부가 제외되는 경우)/위탁관리인의 인적 사항
1-9. 주택 임대차 계약의 신고,67,A특별자치시 소재 주택으로서 보증금이 6천만원이고 월차임 이 30만원으로 임대차계약을 신규 체결한 경우 신고 대상이다.,X,보증금 6천 초과 또는 월차임 30 초과인 경우만 신고해요. 63빌딩 ×
1-9. 주택 임대차 계약의 신고,68,B시 소재 주택으로서 보증금이 5천만원이고 월 차임이 40만원 으로 임대차계약을 신규 체결한 경우는 신고 대상이다.,O,6천 또는 30만 넘었으니 신고대상이죠.
1-9. 주택 임대차 계약의 신고,69,C광역시 D군 소재 주택으로서 보증금이 1억원이고 월 차임이 100만원으로 신고된 임대차계약에서 보증금 및 차임의 증감 없 이 임대차 기간만 연장하는 갱신계약은 신고 대상이 아니다.,O,보증금·차임 증감 없이 기간만 연장하는 계약은 신고대상이 아니에요. 군지역의 경우 광역시와 경기도의 군에 있는 주택 임대차만 신고대상이죠
1-9. 주택 임대차 계약의 신고,70,자연인 甲과 지방공기업법에 따른 지방공사 乙이 신고 대상 인 주택 임대차계약을 체결한 경우 甲과 乙은 관할 신고관청에 공동으로 신고하여야 한다.,X,"일방이 국가 등인 경우, 국가 등이 임대차 계약의 신고를 해야 해요. 乙이 단독신고"
1-9. 주택 임대차 계약의 신고,71,개업공인중개사가 신고 대상인 주택 임대차계약을 중개한 경우 해당 개업공인중개사가 신고하여야 한다.,X,"개업공인중개사는 주택 임대차 계약의 신 고의무가 없어요. 거래당사자가 자연인이 면공동신고, 일방이 국가 등이면 국가 등 이 단독신고를 해야 해요"
1-9. 주택 임대차 계약의 신고,72,임대인 甲과 임차인 乙이 주택 임대차 계약을 신고한 후 보증금 을 증액하면 甲이 단독으로 신고해야 한다.,X,보증금·차임의 증액이나 감액으로 인한 변경신고 및 해제신고는 모두 공동신고
1-9. 주택 임대차 계약의 신고,73,지방자치단체 甲과 임차인 乙이 주택 임대차 계약을 신고한 후 임대차 계약이 해제된 경우 甲이 단독으로 해제를 신고해야 한다.,O,"임대차 계약의 신고, 변경신고 및 해제신 고는 모두 일방이 국가 등이면 국가 등이 단독신고를 해야해요."
1-9. 주택 임대차 계약의 신고,74,임차인이 주민등록법에 따라 전입신고를 하는 경우 주택임대 차계약의 신고를 한 것으로 본다.,O,앞뒤가 바뀌면 안돼요. 임대차 신고를 하 면 전입신고를 한 것으로 본다(×).
1-9. 주택 임대차 계약의 신고,75,임대차계약서를 제출하면서 신고를 하고 접수가 완료되면 주 택임대차보호법에 따른 확정일자가 부여된 것으로 본다.,O,그렇게 알아두시면 돼요.
1-10. 과태료,76,부당하게 재산상 이득을 취득할 목적으로 매매계약을 체결하지 아니하였음에도 불구하고 거짓으로 부동산 거래신고를 한 자는 3년 이하의 징역 또는 3천만원 이하의 벌금에 처한다. (,O,불불은 3년 이하의 징역 또는 3천만원 이 하의 벌금 사유에 해당하고 3천만원 이하 의 과태료 사유에도 해당해요.
1-10. 과태료,77,부동산 거래신고의 공동신고를 거부한 자에 대하여는 500만원 이하의 과태료를 부과한다.,O,부동산 거래신고를 하지 아니한 자에 해 당해요.
1-10. 과태료,78,개업공인중개사에게 거짓으로 부동산 거래신고를 하도록 요구 한 자는 과태료 부과대상자가 된다.,O,500만원 이하의 과태료
1-10. 과태료,79,개업공인중개사가 거짓으로 부동산거래계약 신고서를 작성하 여 신고한 경우에는 벌금형 부과사유가 된다.,X,벌금과 과태료는 다르다는 것을 주의하세요 거짓신고는 취득가액의 100분의 10 이하 과태료를 부과해요.
1-10. 과태료,80,신고관청의 요구에도 거래대금 지급을 증명할 수 있는 자료를 제출하지 아니한 자에게는 해당 부동산에 대한 취득가액의 100 분의 10 이하에 상당하는 금액의 과태료가 부과된다.,X,3천만원 이하의 과태료 거짓신고인 경우가 취득가액의 100분의 10이하 과태료예요.
1-10. 과태료,81,주택 임대차 계약의 변경 신고를 거짓으로 한 자에 대하여는 100만원 이하의 과태료를 부과한다. ,O,주택 임대차 계약의 신고 또는 변경·해 제 신고를 하지 아니하거나 신고를 거짓 으로 한 자는 모두 100과
2-1.외국인 등,82,외국인이 건축물에 대한 저당권을 취득하는 경우에는 부동산 거래신고 등에 관한 법률이 적용되지 않는다.,O,"저당권, 전세권, 임대차 등은 적용"
2-1.외국인 등,83,사원 또는 구성원의 2분의 1이상이 대한민국 국적을 보유하지 않은 법인은 외국인 등에 해당한다.,O,그렇지요.
2-1.외국인 등,84,대한민국의 국적을 보유하고 있지 않은 개인이 이사 등 임원의 2분의 1 이상인 단체는 외국인 등에 해당한다.,O,대한민국법령에 따라 설립된 법인이라도 이 요건을 갖추면 외국인 등에 해당해요.
2-1.외국인 등,85,외국의 법령에 따라 설립된 법인으로서 구성원의 2분의 1이 대 한민국 국민인 경우 외국인 등에 해당하지 아니한다.,X,외국의 법령에 따라 설립된 법인 또는 단 체는 무조건 외국인 등에 해당해요.
2-1.외국인 등,86,외국의 법령에 따라 설립된 법인이 자본금의 2분의 1이상을 가 지고 있는 법인은 외국인 등에 해당한다.,O,자본금 또는 의결권의 2분의 1이상을 외 국인 또는 외국법인이 갖고 있으면 '외국 인등'에 해당해요.
2-1.외국인 등,87,국제연합도 외국인 등에 포함된다.,O,그렇죠.
2-1.외국인 등,88,비정부 간 국제기구는 외국인 등에 포함된다.,O,"외국 정부, 국제연합과 그 산하기구·전 문기구, 정부 간 기구, 준정부 간 기구, 비 정부간 국제기구"
2-2. 부동산 등 취득신고,89,대한민국 국적을 보유하고 있지 아니한 자가 토지를 증여받은 경우 계약체결일부터 60일 이내에 취득신고를 해야 한다.,O,"계약(교환, 증여) : 계약일 60일 300과"
2-2. 부동산 등 취득신고,90,외국인 등이 토지 임대차계약을 체결하는 경우 계약체결일로부 터 6개월 이내에 신고관청에 신고해야 한다.,X,토지 임대차는 신고대상이 아니에요.
2-2. 부동산 등 취득신고,91,외국인 등이 대한민국 안의 부동산에 대한 매매 계약을 체결하 였을 때에는 계약체결일부터 60일 이내에 신고관청에 신고하여야 한다.,X,"매매(30일), 교환·증여(60일)"
2-2. 부동산 등 취득신고,92,외국인 등이 부동산 등의 취득신고를 하지 아니한 경우에는 벌 금형의 대상이 된다.,X,"신고는 과태료, 허가는 징역 또는 벌금"
2-2. 부동산 등 취득신고,93,외국인 등이 부동산 등의 매매계약을 체결하고 부동산 거래신 고를 한 때에도 외국인 등의 부동산 취득신고를 해야 한다.,X,부동산 거래신고를 하면 외국인 등 부동 산 취득신고를 하지 않아도 돼요.
2-2. 부동산 등 취득신고,94,교환계약을 체결하고 부동산 등의 취득신고를 하지 않은 경우 그 계약의 효력이 발생하지 않는다.,X,신고/허가 내용의 바꿔치기 신고하지 않거나 거짓신고를 해도 계약은 유 효이며 과태료를 받고 허가받지 않으면 계약은 무효이며 징역 또는 벌금형을 받아요.
2-2. 부동산 등 취득신고,95,증여계약으로 인한 부동산 취득에 대하여 거짓으로 신고한 경 우 300만원 이하의 과태료를 부과한다.,O,"교환, 증여: 계약일 60일 300과"
2-2. 부동산 등 취득신고,96,국제연합의 전문기구가 경매로 대한민국 안의 부동산 등을 취 득한 때에는 부동산 등을 취득한 날부터 60일 이내에 신고관청 에 신고해야한다.,X,"상속, 경매, 확정판결, 환매권 행사, 법인 합병, 건축물의 신축·증축·개축·재축 (상경ㅎㅎㅎㅊ): 6개월 이내 신고"
2-2. 부동산 등 취득신고,97,외국인이 상속으로 부동산 등을 취득한 후 법정기간 내에 신고 하지 않으면 100만원 이하의 과태료가 부과된다.,O,6개월 100과
2-2. 부동산 등 취득신고,98,외국의 법령에 의하여 설립된 법인이 합병을 통하여 부동산을 취득한 경우에는 취득한 날부터 60일 이내에 취득신고를 해야 한다.,X,법인의 합병도 계약 외의 원인이니 취득 일부터 6개월 이내에 신고해야죠.
2-2. 부동산 등 취득신고,99,외국인 등이 법원의 확정판결로 대한민국 안의 부동산 등을 취 득한 때에는 신고하지 않아도 된다.,X,6개월 이내에 신고하라니까요.
2-2. 부동산 등 취득신고,100,외국의 법령에 따라 설립된 법인이 건축물의 신축으로 국내 부 동산을 취득한 때에는 부동산을 취득한 날부터 60일 이내에 신 고관청에 취득신고를 하여야 한다.,X,"상경ㅎㅎㅎㅊ: 6개월, 100과"
2-2. 부동산 등 취득신고,101,대한민국 안의 부동산을 가지고 있는 대한민국 국민이 외국인 으로 변경된 경우 그 외국인이 해당 부동산을 계속 보유하려는 경우에는 부동산 보유의 허가를 받아야 한다.,X,"외국인 등으로 변경: 6개월 이내에 신고 해야 하고, 100만원 이하의 과태료예요."
2-2. 부동산 등 취득신고,102,부동산을 소유한 대한민국 국민이 대한민국 국적을 상실한 경 우 부동산을 계속 보유하려면 국적을 상실한 때부터 6개월 이 내에 계속보유 신고를 해야 한다.,O,국적 상실은 외국인 등으로 변경된 경우 를 말해요. 6개월 이내신고
2-3. 토지취득허가,103,자연환경보전법에 따른 생태·경관보전지역에서 외국인이 토지취득의 허가를 받지 아니하고 체결한 토지취득계약은 효력 이 없다.,O,군사 천연 문화 생태 으르렁 토지에 대해 허가를 받지 않고 체결한 계약은 무효
2-3. 토지취득허가,104,외국정부가 군사기지 및 군사시설 보호법에 따른 군사시설 보호구역 내 토지를 취득하려는 경우 계약체결 전에 국토교통 부장관에게 취득허가를 받아야 한다.,X,"신고도 신고관청에 하고, 허가도 신고관 청으로부터 받아야 해요."
2-3. 토지취득허가,105,외국인이 취득하려는 토지가 토지거래허가구역과 문화유산의 보존 및 활용에 관한 법률에 따른 지정문화유산과 이를 위한 보호물 또는 보호구역에 있으면 토지거래계약허가와 토지취득 허가를 모두 받아야 한다.,X,외국인 등의 토지취득허가와 토지거래계 약의 허가는 둘 중 하나만 받으면 돼요.
2-3. 토지취득허가,106,외국인이 수도법에 따른 상수원보호구역에 있는 토지를 취득 하려는 경우 토지취득계약을 체결하기 전에 신고관청으로부터 토지취득의 허가를 받아야 한다.,X,군사 천연 문화 생태 으르렁 외에는 허가 대상 토지가 아니란 점을 주의하세요
2-3. 토지취득허가,107,자연환경보전법에 따른 생태· 경관보전지역 내의 토지에 대하여 외국인 등의 토지거래 허가신청서를 받은 신고관청은 신청서를 받은 날부터 30일 이내에 허가 또는 불허가처분을 하 여야 한다.,X,"허가 또는 불허가처분: 군사시설 보호구 역(30일 +30일 범위에서 연장 가능), 천 연 문화 생태 으르렁(15일)"
2-3. 토지취득허가,108,특별자치시장은 외국인 등이 신고한 부동산 등의 취득·계속보 유 신고내용을 매 분기 종료일부터 1개월 이내에 직접 국토교통 부장관에게 제출하여야 한다.,O,"신고관청은 외국인 등의 신고 및 허가내 용을 매 분기 종료일부터 1개월 이내에 시·도지사에게 제출하고, 시·도지사는 1개월 이내에 국토교통부장관에게 제출해 요. 다만 특별자치시장은 매 분기 종료일 부터 1개월 이내에 직접 국토교통부장관 에게 제출해야 해요."
3-1. 허가구역의 지정 및 지정절차,109,도시·군관리계획 등 토지이용계획이 새로이 수립되는 지역은 토지의 투기적 거래나 지가의 급격한 상승이 우려되지 않아도 토지거래허가구역으로 지정할 수 있다.,X,토지이용계획이 새로이 수립되거나 변경되 는 지역이면서 투기적인 거래가 성행하거 나. 지가가 급격히 상승하는 지역과 그러한 우려가 있는 지역에 대해 지정할 수 있어요
3-1. 허가구역의 지정 및 지정절차,110,시·도지사는 법령의 개정으로 인해 토지이용에 대한 행위제한 이 강화되는 지역을 허가구역으로 지정할 수 있다.,X,행위제한이 완화되거나 해제되는 지역에 지정하는 것이죠.
3-1. 허가구역의 지정 및 지정절차,111,토지의 투기적인 거래 성행으로 지가가 급격히 상승하는 등의 특별한 사유가 있으면 5년 이상으로 허가구역을 지정할 수 있다.,X,5년 이내로 지정해요.
3-1. 허가구역의 지정 및 지정절차,112,허가구역 지정에 이의가 있는 자는 그 지정이 공고된 날부터 1개 월 내에 시장·군수·구청장에게 이의를 신청할 수 있다.,X,허가구역을 지정한 것에 대해 이의신청하 는 제도는 없어요. 허가 또는 불허가처분 에 대해 이의신청 가능: 1개월 시군구
3-1. 허가구역의 지정 및 지정절차,113,허가구역이 둘 이상의 시·도의 관할 구역에 걸쳐 있는 경우 시·도지사가 공동으로 허가구역을 지정한다.,X,둘 이상의 시·도: 국토교통부장관
