단원명,문제번호,문제,정답,해설
5. 취득세-취득시기,92,부동산 도시 및 주거환경정비법에 따른 재건축조합이 재건축사업을 하면서 조합원으로 부터 취득하는 토지 중 조합원에게 귀속되지 아니하는 토지를 취득하는 경우에는 같은 법에 따른 준공인가고시일의 다음 날이 납세의무 성립시기이다. ,X,소유권이전고시일의 다음 날이 납세 의무 성립시기이다.
5. 취득세-취득시기,93,사실상의 연부금 지급일 이전에 등기 또는 등록한 경우에는 그 등기 또는 등록일에 취득 한 것으로 본다. ,O,옳은지문
5. 취득세-취득시기,94,민법 제839조의 2에 따른 재산분할로 인한 취득의 경우 취득물건의 등기일 또는 등록일을 취득일로 본다. ,O,옳은지문
5. 취득세-취득시기,95,"무상승계 취득한 취득물건을 취득일에 등기 · 등록을 한 후 화해조서, 인낙조서에 의하여 취득일이 속한 달의 말일부터 3개월 이내에 계약이 해제된 사실을 입증하는 경우에는 취 득한 것으로 보지 아니한다. ",X,등기 · 등록을 하지 아니하고 입증되는 경우 취득으로 보지 아니한다. 등기한 경우에는 입증여부와 관계없이 취득한 것으로 본다.
5. 취득세-취득시기,96,관계 법령에 따라 매립으로 토지를 원시취득하는 경우 취득물건의 등기일을 취득일로 본다. ,X, 공사준공인가일을 취득일로 본다. 
6. 취득세-과세표준 취득당시가액,97,부동산을 유상승계로 취득하는 경우 사실상 취득가격을 과세표준으로 한다. ,O,옳은지문
6. 취득세-과세표준 취득당시가액,98,부동산을 유상승계로 취득하는 경우로서 특수관계인 간의 거래로 그 취득에 대한 조세 부담을 부당하게 감소시키는 행위 또는 계산을 한 것으로 인정되는 경우에는 시가표준액을 취득당시의 가액으로 결정할 수 있다. ,X,시가인정액을 취득가격으로 한다.
6. 취득세-과세표준 취득당시가액,99,"취득세의 과세표준은 취득 당시의 가액으로 한다. 다만, 연부로 취득하는 경우의 과세표 준은 매회 사실상 지급되는 금액을 말하며, 취득금액에 포함되는 계약보증금을 포함한다. ",O,옳은지문
6. 취득세-과세표준 취득당시가액,100,부동산 등을 상속으로 취득한 경우 시가표준액을 과세표준으로 한다. ,O,옳은지문
6. 취득세-과세표준 취득당시가액,101,취득물건에 대한 시가표준액이 1억원 이하인 부동산 등을 무상취득(상속은 제외)하는 경 우 시가인정액과 시가표준액 중 납세자가 정하는 가액을 취득당시의 가액으로 한다. ,O,옳은지문
6. 취득세-과세표준 취득당시가액,102,부담부증여의 경우 유상으로 취득한 것으로 보는 채무액에 상당하는 부분(채무부담액)은 시가인정액을 한도로 한다. ,O,옳은지문
6. 취득세-과세표준 취득당시가액,103,부동산 등을 증여로 취득한 경우에는 시가표준액을 취득 당시 가액으로 한다. ,X,시가인정액을 취득가격으로 한다.
6. 취득세-과세표준 취득당시가액,104,"토지의 지목을 사실상 변경한 경우 취득 당시 가액은 그 변경으로 증가한 가액에 해당하 는 사실상 취득가격으로 한다. 다만, 법인이 아닌 자가 토지의 지목을 사실상 변경한 경 으로서 사실상 취득가격을 확인할 수 없는 경우에는 지목변경 후 시가표준액에서 지목변 경전 시가표준액을 뺀 가액으로 한다. ",O,옳은지문
6. 취득세-과세표준 취득당시가액,105,대물변제에 따른 건축물 취득의 경우에는 대물변제액(대물변제액 외에 추가로 지급한 금액이 있는 경우에는 그 금액을 제외한다)을 취득당시의 가액으로 한다. ,X,대물변제액(대물변제액 외에 추가로 지급한 금액이 있는 경우에는 그 금액을 제외한다)
6. 취득세-과세표준 취득당시가액,106,건축물을 교환으로 취득하는 경우에는 교환으로 이전받는 건축물의 시가표준액과 이전하는 건축물의 시가표준액 중 낮은 가액을 취득당시의 가액으로 한다. ,X,이전받는 건축물의 시가표준액과 이전하는 건축물의 시가표준액중 높은 가액을 취득당시 가액으로 한다.
6. 취득세-과세표준 취득당시가액,107,법인이 아닌 자가 건축물을 건축하여 취득하는 경우로서 사실상 취득가격을 확인할 수 없는 경우에는 시가인정액을 취득당시가액으로 한다. ,X,시가표준액을 과세표준으로 한다.
6. 취득세-과세표준 취득당시가액,108,부동산의 건설자금에 충당한 차입금의 이자는 법인의 경우에만 취득과 관련된 비용으로 취득가격에 포함한다. ,O,옳은지문
6. 취득세-과세표준 취득당시가액,109,법인이 연부로 취득하는 경우 연부계약에 따른 이자상당액은 취득과 관련된 비용으로 취득가격에 포함한다. ,O,옳은지문
6. 취득세-과세표준 취득당시가액,110,부가가치세는 취득가격에 포함하지 아니한다,O,옳은지문
6. 취득세-과세표준 취득당시가액,111,취득대금을 일시급 등으로 지불하여 일정액을 할인받은 경우에는 그 할인받은 금액을 취득가격으로 한다.,X,할인된 금액을 취득가액으로 한다. 
7. 취득세-세율,112,지방자치단체장은 조례로 정하는 바에 따라 취득세 표준세율의 100분의 50 범위에서 가감할 수 있다.,O,옳은지문
7. 취득세-세율,113,동일한 취득물건에 대하여 2 이상의 세율이 해당되는 경우 취득세 세율은 그중 낮은 세율을 적용한다. ,X,높은 세율을 적용한다.
7. 취득세-세율,114,"유상거래를 원인으로 취득당시의 가액이 6억원인 주택의 경우에는 1,000분의 10(1%)의 세율을 적용한다. ",O,옳은지문
7. 취득세-세율,115,건축(신축·재축 제외)으로 인하여 건축물 면적이 증가할 때에는 그 증가된 부분에 대하여 원시취득으로 보아 해당 세율을 적용한다. ,O,옳은지문
7. 취득세-세율,116,부동산을 상호 교환하여 소유권이전 등기를 하는 것은 무상승계 취득에 해당하는 세율을 적용한다.,X,교환은 유상승계 취득의 세율을 적용한다.
7. 취득세-세율,117," 농지 외 부동산을 매매로 취득하는 경우에는 1,000분의 30의 세율을 적용한다. ",X,"농지는 1,000분의 30을 농지 외 부동산은 1,000분의 40의 세율을 적용한다."
7. 취득세-세율,118,환매등기를 병행하는 부동산의 매매로서 환매기간 내에 매도자가 환매한 경우의 그 매도 자와 매수자의 취득에 대한 취득세는 표준세율에 중과기준세율(100분의 200)을 합한 세 율로 산출한 금액으로 한다. ,X,표준세율에서 중과기준세율을 뺀 세율을 적용한다.
7. 취득세-세율,119,지방세법상 농지를 상호 교환하여 소유권이전 등기를 할 때 적용하는 취득세 표준세율은 1천분의 30이다(법령이 정하는 비영리사업자가 아님). ,O,옳은지문
7. 취득세-세율,120,존속기간이 1년을 초과하는 임시건축물의 경우 중과기준세율을 적용한다. ,O,옳은지문
7. 취득세-세율,121,"사회복지사업법에 따라 설립된 사회복지법인이 독지가의 기부에 의하여 건물을 취득한 경우 28/1,000의 세율을 적용한다. ",O,옳은지문
7. 취득세-세율,122,등기부등본상 본인 지분을 초과하지 않는 공유물 분할로 인한 취득은 표준세율에서 중과 기준세율을 뺀 세율을 적용한다. ,O,옳은지문
7. 취득세-세율,123,상속으로 인한 취득 중 법령으로 정하는 1가구 1주택 및 그 부속토지의 취득은 형식상 취득으로서 표준세율에서 중과기준세율을 뺀 특례세율을 적용한다. ,O,옳은지문
7. 취득세-세율,124,「민법」에 따른 재산분할로 인한 취득은 형식상 취득으로서 표준세율에서 중과기준세율을 뺀 특례세율을 적용한다. ,O,옳은지문
7. 취득세-세율,125,지방세법상 취득세액을 계산할 때 중과기준세율만을 적용하는 경우 - 개수로 인하여 건축물 면적이 증가하는 경우 그 증가한 가액 ,O,옳은지문
7. 취득세-세율,126,지방세법상 취득세액을 계산할 때 중과기준세율만을 적용하는 경우 -  토지의 지목을 사실상 변경함으로써 그 가액이 증가한 경우 ,X,"개수로 인하여 면적이 증가하면 증가한 부분은 원시취득의 세율(1,000분의 28)을 적용하고 상속으로 인하여 농지를 취득하는 경우 1,000분의 23의 세율을 적용한다. "
7. 취득세-세율,127,지방세법상 취득세액을 계산할 때 중과기준세율만을 적용하는 경우 - 법인설립 후 유상 증자시에 주식을 취득하여 최초로 과점주주가 된 경우 ,X,"개수로 인하여 면적이 증가하면 증가한 부분은 원시취득의 세율(1,000분의 28)을 적용하고 상속으로 인하여 농지를 취득하는 경우 1,000분의 23의 세율을 적용한다. "
7. 취득세-세율,128,지방세법상 취득세액을 계산할 때 중과기준세율만을 적용하는 경우 - 상속으로 농지를 취득한 경우 회원제골프장용 부동산 중 구분등록의 대상이 되는 토지와 건축물에 대한 취득세 세율과 과밀억제권역 내의 법인 본점 또는 주사무소(신·증축에 한함)의 사업용 부동산에 대한 취득세 세율은 동일하다. ,X," 회원제골프장용 부동산 중 구분등록의 대상이 되는 토지와 건축물에 대한 취득세 세율은 표준세율에 중과기준세율의 100분의 400을 합한 세율을 적용하고, 과일 억제권역 내의 법인 본점 또는 주사무소(신·증축에 한함)의 사업용 부동산에 대한 취득세 세율은 표준 세율에 중과기준세율의 100분의 200을 합한 세율을 적용한다."
7. 취득세-세율,129,주택을 신축 또는 증축한 이후 해당 주거용 건축물의 소유자(배우자 및 직계존비속을 포 함한다)가 해당 주택의 부속토지를 유상 취득하는 경우 주택 유상거래 세율을 적용하지 아니한다. ,O,옳은지문
7. 취득세-세율,130,법인이 합병 또는 분할로 인하여 부동산을 유상으로 취득하는 경우 유상승계취득 세율을 적용한다. ,O,옳은지문
7. 취득세-세율,131,"유상, 상속, 증여 등으로 취득하는 부동산이 공유물일 때에는 그 취득지분의 가액을 과세표준으로 하여 각각의 해당 세율을 적용한다. ",O,옳은지문
8. 취득세-부과징수,132,취득세가 경감된 과세물건이 추징대상이 된 때에는 그 사유발생일부터 60일 이내에 그 산출세액에서 이미 납부한 세액(가산세 포함)을 공제한 세액을 신고·납부하여야 한다. ,X,가산세는 포함하지 아니한다
8. 취득세-부과징수,133,"토지의 지목변경에 따라 사실상 그 가액이 증가된 경우, 그 지목변경일로부터 신고기한 이내에 취득세를 신고하지 않고 매각하더라도 취득세 증가산세 규정은 적용되지 아니한다. ",O,옳은지문
