단원명,문제번호,문제,정답,해설
"목적의 확정성, 가능성, 적법성 ",16,오로지 보험사고를 가장하여 보험금을 취득할 목적으로 체결한 생명보험계약은 반사회적 법률행위에 해당하여 무효이다. ★,O,"과도한 위약벌약정, 보험사고 가장, 궁지에 빠뜨린 다음→ 사회질서위반 "
"목적의 확정성, 가능성, 적법성 ",17,해외파견 근로자의 귀국 후 일정기간 소속회사에 근무토록 한 약정은 특별한 사정이 없는 한 반사회적 법률행위라고 할 수 없다. ,O,일정기간 →사회질서위반 X 
"목적의 확정성, 가능성, 적법성 ",18,첩계약의 대가로 부동산의 소유권을 이전해 주었다면 어떠한 이유로도 그 반환을 청구 할 수 없다,O,사회질서위반자 →반환청구 X 
"목적의 확정성, 가능성, 적법성 ",19,사회질서에 위반한 사항을 내용으로 하는 법률행위의 무효는 이를 주장할 이익이 있는 자라면 누구든지 무효를 주장할 수 있다. ★,O,사회질서위반자 →반환청구 X 
"목적의 확정성, 가능성, 적법성 ",20,반사회적 법률행위의 무효는 선의의 제3자에게도 대항할 수 있다. ,O,사회질서위반자 →반환청구 X 
"목적의 확정성, 가능성, 적법성 ",21,반사회적 법률행위에 해당하는 제2매매계약에 기초하여 제2매수인으로부터 그 부동산을 매수하여 등기한 선의의 제3자는 제2매매계약의 유효를 주장할 수 있다. ,X,사회질서위반자 →반환청구 X 
"목적의 확정성, 가능성, 적법성 ",22,부동산 매매계약에서 계약금을 수수한 후 당사자가 매매계약의 이행에 착수하기 전에 제3자가 매도인을 적극 유인하여 해당 부동산을 매수하였다면 매도인과 제3자 사이의 그 매매계약은 반사회적 법률행위가 아니다. ★,O,"부동산이중매매 
1 제1매매계약→ 이행에 착수한 후(중도금지급 후) 
2 제2매수인 →악의 →유효 
3 제2매수인→ 적극가담→ 사회질서위반→ 무효 "
"목적의 확정성, 가능성, 적법성 ",23,부동산을 매도인이 이미 제3자에게 매각한 사실을 매수인이 단순히 알고 있었던 경우에 매도인의 요청으로 그 부동산을 매수하기로 한 계약은 반사회적 법률행위가 아니다. ,O,"부동산이중매매 
1 제1매매계약→ 이행에 착수한 후(중도금지급 후) 
2 제2매수인 →악의 →유효 
3 제2매수인→ 적극가담→ 사회질서위반→ 무효 "
"목적의 확정성, 가능성, 적법성 ",24,대리인이 매도인의 배임행위에 적극 가담하여 이루어진 부동산의 이중매매는 본인인 매수인이 그러한 사정을 몰랐다면 반사회질서의 법률행위가 되지 않는다. ★,X,"부동산이중매매 
1 제1매매계약→ 이행에 착수한 후(중도금지급 후) 
2 제2매수인 →악의 →유효 
3 제2매수인→ 적극가담→ 사회질서위반→ 무효 "
"목적의 확정성, 가능성, 적법성 ",25,"甲은 자기소유의 X토지를 乙에게 매도하고 중도금을 수령하였으나 乙명의로 등기하지 않고 있던 중, 丙이 甲의 배임행위에 적극 가담하여 甲으로부터 X토지를 매수하여 丙 명의로 등기를 경료하였다. 乙은 甲을 대위하여 丙에게 말소등기를 청구할 수 있다. ",O,•부동산이중매매 →적극 가담 /대위 말소 /제3자도 무효 /손해배상청구 
"목적의 확정성, 가능성, 적법성 ",26,"甲은 자기소유의 X토지를 乙에게 매도하고 중도금을 수령하였으나 乙명의로 등기하지 않고 있던 중, 丙이 甲의 배임행위에 적극 가담하여 甲으로부터 X토지를 매수하여 丙 명의로 등기를 경료하였다. 乙은 丙에게 직접 소유권이전등기를 청구할 수 없다. ",O,•부동산이중매매 →적극 가담 /대위 말소 /제3자도 무효 /손해배상청구 
"목적의 확정성, 가능성, 적법성 ",27,"甲은 자기소유의 X토지를 乙에게 매도하고 중도금을 수령하였으나 乙명의로 등기하지 않고 있던 중, 丙이 甲의 배임행위에 적극 가담하여 甲으로부터 X토지를 매수하여 丙 명의로 등기를 경료하였다. 乙은 소유권이전청구권의 보전을 위하여 甲과 丙의 매매계약에 대하여 채권자취소권을 행사할 수 없다. ",O,•부동산이중매매 →적극 가담 /대위 말소 /제3자도 무효 /손해배상청구 
"목적의 확정성, 가능성, 적법성 ",28,"甲은 자기소유의 X토지를 乙에게 매도하고 중도금을 수령하였으나 乙명의로 등기하지 않고 있던 중, 丙이 甲의 배임행위에 적극 가담하여 甲으로부터 X토지를 매수하여 丙 명의로 등기를 경료하였다. 乙은 丙에게 직접 불법행위를 이유로 손해배상을 청구할 수 있다. ",O,•부동산이중매매 →적극 가담 /대위 말소 /제3자도 무효 /손해배상청구 
"목적의 확정성, 가능성, 적법성 ",29,"甲은 자기소유의 X토지를 乙에게 매도하고 중도금을 수령하였으나 乙명의로 등기하지 않고 있던 중, 丙이 甲의 배임행위에 적극 가담하여 甲으로부터 X토지를 매수하여 丙 명의로 등기를 경료하였다. 丁이 X토지를 丙으로부터 매수하여 이전등기를 받은 경우, 丁은 선의라도 甲과 丙의 매매계약의 유효를 주장할 수 없다. ",O,•부동산이중매매 →적극 가담 /대위 말소 /제3자도 무효 /손해배상청구 
불공정한 법률행위(폭리행위) ,30,불공정한 법률행위에 해당하는지는 법률행위 당시를 기준으로 판단한다,O,현저한불균형→ 행위당시를 기준→객관적으로 판단→무상행위 X 
불공정한 법률행위(폭리행위) ,31,"급부와 반대급부 사이의 현저한 불균형은 피해자의 궁박,경솔,무경험의 정도를 고려하여 당사자의 주관적 가치에 따라 판단한다. ",X,현저한불균형→ 행위당시를 기준→객관적으로 판단→무상행위 X 
불공정한 법률행위(폭리행위) ,32,"궁박은 경제적 궁박에 한하지 않고, 정신적,심리적 원인도 포함된다. ",O,궁박→정신적·심리적 궁박도 포함한다
불공정한 법률행위(폭리행위) ,33,무경험은 특정 영역 경험부족이 아니라 거래일반에 대한 경험부족을 의미한다. ★,O,무경험 →거래일반에 대한 경험부족O/ 특정거래 영역 X 
불공정한 법률행위(폭리행위) ,34,무경험이라 함은 특정거래 영역 경험의 부족을 의미한다.,X,무경험 →거래일반에 대한 경험부족O/ 특정거래 영역 X 
불공정한 법률행위(폭리행위) ,35,"법률행위가 현저하게 공정을 잃었다고 하여 곧 그것이 궁박, 경솔 또는 무경험으로 이루 어진 것으로 추정되지 않는다. ★",X,무효를 주장하는 자가 모두 입증→ 추정 X 
불공정한 법률행위(폭리행위) ,36,급부와 반대급부 사이 현저한 불균형 존재시 궁박이 추정된다. ,X,무효를 주장하는 자가 모두 입증→ 추정 X 
불공정한 법률행위(폭리행위) ,37,불공정한 법률행위의 무효는 선의의 제3자에게 대항할 수 없다. ,X,피해자는 반환청구O →제3자도 무효 
불공정한 법률행위(폭리행위) ,38,불공정한 법률행위로서 무효인 경우에도 무효행위의 전환에 의해 유효로 될 수 있다. ★★,O,불공정→전환→공정→유효 
불공정한 법률행위(폭리행위) ,39,비진의표시는 표의자의 진의 아님을 상대방이 과실로 알지 못한 경우에는 무효이다. ★,O,"비진의표시 
1 원칙→유효→상대방은 선의무과실로 추정 / 상대방이 알았거나 알 수 있었을 경우(과실) →무효 →선의의 제3자에게 대항X "
불공정한 법률행위(폭리행위) ,40,상대방이 표의자의 진의 아님을 알았다는 것은 무효를 주장하는 자가 증명하여야 한다. ,O,"비진의표시 
1 원칙→유효→상대방은 선의무과실로 추정 / 상대방이 알았거나 알 수 있었을 경우(과실) →무효 →선의의 제3자에게 대항X "
불공정한 법률행위(폭리행위) ,41,"상대방이 표의자의 진의 아님을 알았을 경우, 표의자는 진의 아닌 의사표시를 취소할 수 있다. ",X,"비진의표시 
1 원칙→유효→상대방은 선의무과실로 추정 / 상대방이 알았거나 알 수 있었을 경우(과실) →무효 →선의의 제3자에게 대항X "
불공정한 법률행위(폭리행위) ,42,진의 아닌 의사표시에서 진의는 특정한 내용의 의사표시를 하고자 하는 표의자의 생각을 말한다. ,O,진의→ 진정으로 마음속에서 원하는 사항 X 
불공정한 법률행위(폭리행위) ,43,재산을 강제로 뺏긴다는 인식을 하고 있는 자가 고지된 해악이 두려워 어쩔 수 없이 증여의 의사표시를 하면 이는 비진의표시라 할 수 없다. ★,O,강박→ 비진의표시(내심의 효과의사가 결여된 것) X 
불공정한 법률행위(폭리행위) ,44,"강박에 따라 제3자에게 증여한 경우, 표의자는 마음속에서 진정으로 원하지 않았으나 당시의 상황에서는 최선이라고 판단하여 의사표시를 하였다면 비진의표시가 된다. ",X,강박→ 비진의표시(내심의 효과의사가 결여된 것) X 
불공정한 법률행위(폭리행위) ,45,"대리인이 대리권을 남용한 경우, 비진의표시에 관한 규정이 유추적용된다. ★",O,대리권남용→ 비진의표시 유추적용O
불공정한 법률행위(폭리행위) ,46,대리인이 자신의 이익을 위하여 대리권을 남용하는 경우는 무권대리에 해당한다. ,X,대리권남용→ 비진의표시 유추적용O
불공정한 법률행위(폭리행위) ,47,"대리인이 자기를 위하여 배임적 대리행위를 한 경우, 상대방이 사실을 알았거나 알 수 있었다면 대리행위는 본인에게 효력이 없다. ",O,대리권남용→ 비진의표시 유추적용O
불공정한 법률행위(폭리행위) ,48,". 甲이 법률상 또는 사실상의 장애로 자기명의로 대출받을 수 없는 乙을 위하여 대출금 채무자로서의 명의를 빌려준 경우, 甲의 의사표시는 비진의표시라고 할 수 없다. ★★",O,명의대여하여 대출약정을 한 경우→ 비진의표시 X→ 유효 
불공정한 법률행위(폭리행위) ,49,"은행대출한도를 넘은 甲을 위해 乙이 은행대출약정서에 주채무자로 서명날인한 경우,은행이 이런 사정을 알았더라도 乙은 원칙적으로 대출금반환채무를 진다. ",O,명의대여하여 대출약정을 한 경우→ 비진의표시 X→ 유효 
불공정한 법률행위(폭리행위) ,50,대출절차상 편의를 위하여 명의를 빌려준 자가 채무부담의 의사를 가졌더라도 그 의사 표시는 비진의표시이다. ,X,명의대여하여 대출약정을 한 경우→ 비진의표시 X→ 유효 
통정허위표시,51,통정허위표시가 성립하기 위해서는 진의와 표시의 불일치에 관하여 상대방과 합의가 있어야 한다. ★,O,통정허위표시→합의 
통정허위표시,52,통정허위표시는 표의자가 의식적으로 진의와 다른 표시를 한다는 것을 상대방이 알았다면 성립한다. ,X,통정허위표시→합의 
통정허위표시,53,통정허위표시의 당사자 사이에는 그 의사표시에 따른 권리의무가 발생한다. ,X,"통정허위표시→당사자 사이 무효, 사회질서위반 X "
통정허위표시,54,"통정허위표시로 무효인 경우, 당사자는 가장행위의 채무불이행이 있더라도 이를 이유로 하는 손해배상을 청구할 수 없다. ★",O,"통정허위표시→당사자 사이 무효, 사회질서위반 X "
통정허위표시,55,통정허위표시로 무효 법률행위도 채권자취소권 대상이 될 수 있다★★,O,통정허위표시→채권자취소O
통정허위표시,56,선의의 제3자에 대해서는 통정허위표시의 당사자뿐만 아니라 그 누구도 통정허위표시의 무효로 대항할 수 없다. ★★,O,선의의 제3자에게 대항(주장) X 
통정허위표시,57,통정허위표시의 제3자가 악의라도 그 전득자가 통정허위표시에 대하여 선의인 때에는 전득자에게 허위표시의 무효를 주장할 수 없다. ★★,O,선의의 제3자에게 대항(주장) X 
통정허위표시,58,악의의 제3자로부터 선의로 전득한 자는 선의의 제3자로 보호받지 못한다. ,X,선의의 제3자에게 대항(주장) X 
통정허위표시,59,". 통정허위표시의 무효에 대항하기 위해서 제3자는 선의이면 족하고, 무과실일 필요는 없다. ★★",O,제3자는 선의이면 족하고 무과실은 불요 
통정허위표시,60,제3자가 통정허위표시의 무효에 대항하기 위해서는 선의 · 무과실이어야 한다. ★★,X,제3자는 선의이면 족하고 무과실은 불요 
통정허위표시,61,허위표시의 당사자는 선의의 제3자에게 과실이 있다면 의사표시의 무효를 그 제3자에게 주장할 수 있다.★★,X,제3자는 선의이면 족하고 무과실은 불요 
통정허위표시,62,통정허위표시의 무효에 대항하려는 제3자는 자신이 선의라는 것을 증명하여야 한다. ★,X,제3자 →선의로 추정 
통정허위표시,63,가장양수인으로부터 소유권이전등기청구권 보전을 위한 가등기를 경료한 자는 특별한 사정이 없는 한 선의로 추정된다. ,O,제3자 →선의로 추정 
통정허위표시,64,"통정허위표시에 의하여 생긴 채권을 가압류한 경우, 가압류채권자는 선의이더라도 통정 허위표시에서 보호받는 제3자에 해당하지 않는다. ",X,가장채권을 가압류한 채권자→ 제3자에 해당O
통정허위표시,65,가장채무를 보증하고 그 보증채무를 이행하여 구상권을 취득한 선의의 보증인은 통정허위표시에 보호받는 제3자에 해당한다.,O,가정채무를 보증한 보증인⇨보증채무를 이행⇨제3자에 해당O
통정허위표시,66,통정허위표시에 따른 선급금 반환채무 부담행위에 기하여 선의로 그 채무를 보증한 자는 보증채무의 이행 여부와 상관없이 허위표시의 무효로부터 보호받는 제3자에 해당한다. ,X,가정채무를 보증한 보증인⇨보증채무를 이행⇨제3자에 해당O
통정허위표시,67,대리인이 가정매매를 한 경우에 있어서 본인은 제3자에 해당한다,X,제3자에 해당하지 않는 자
통정허위표시,68,제3자를 위한 계약에 있어서 수익자는 제3자에 해당하지 않는다,O,제3자에 해당하지 않는 자
통정허위표시,69,채권의 가압보전에 있어서 채무자는 제3자에 해당하지 않는다,O,제3자에 해당하지 않는 자
통정허위표시,70,차주와 통정하여 가정신탁대차계약을 체결한 금융기관으로부터 그 계약을 인수한 자는 제3자에 해당한다,X,제3자에 해당하지 않는 자
통정허위표시,71,"대리인이 대리권의 범위 안에서 현명하여 상대방과 통정허위표시를 한 경우, 본인이 선의라면 특별한 사정이 없는 한 그 허위표시의 무효를 주장할 수 있다. ",X,해설참조
통정허위표시,72,"제3자를위한계약이 통정허위표시에 해당하여 무효인 경우,제3자가 선의인 경우에는 요약자는 제3자에게 무효로 대항할 수 없다. ",X,해설참조
착오,73,"상대방이 표의자의 진의에 동의한 경우, 표의자는 착오를 이유로 취소할 수 없다. ★",O,지번착오 → 착오 취소X
착오,74,상대방이 착오자의 진의에 동의하더라도 착오는 의사표시를 취소할 수 있다.,X,지번착오 → 착오 취소X
착오,75,상대방에 의해 유발된 동기의 착오는 동기가 표시되지 않았더라도 중요부분의 착오가 될 수 있다. ★★,O,동기의 착오 →표시 →유발 또는 제공 →합의 필요 X
착오,76,동기의 착오는 동기가 표시되어 해당 법률행위의 내용으로 된 경우에 한해서만 유효하게 된다. ,X,동기의 착오 →표시 →유발 또는 제공 →합의 필요 X
착오,77,동기의 착오를 이유로 취소하려면 당사자 사이에 동기를 의사표시의 내용으로 하는 합의가 필요하다. ,X,동기의 착오 →표시 →유발 또는 제공 →합의 필요 X
착오,78,"가압류등기가 없다고 믿고 보증하였더라도 그 가압류가 원인 무효인 것으로 밝혀진 경우, 착오를 이유로 의사표시를 취소할 수 없다.",O,동기의 착오 →표시 →유발 또는 제공 →합의 필요 X
착오,79,법률에 관한 착오라도 그것이 법률행위의 내용의 중요부분에 관한 것인 때에는 표의자는 그 의사표시를 취소할 수 있다. ★,O,중요부분의 착오 :토지의 현황·경계에 관한 착오 /법률에 관한 착오 
착오,80,착오에 관한 민법규정은 법률의 착오에 적용되지 않는다. ,X,중요부분의 착오 :토지의 현황·경계에 관한 착오 /법률에 관한 착오 
착오,81,착오를 이유로 취소하기 위해서는 표의자는 계약 내용에 착오가 있었다는 사실과 함께 만일 그 착오가 없었더라면 의사표시를 하지 않았을 것이라는 점도 증명해야 한다. ,O,입증책임 :중요부분의 착오→착오자(법률행위의 효력을 부인하려는 자) /중대한 과실→상대방(법률행위의 효력을 주장하려는 자) 
착오,82,표의자의 중대한 과실은 법률행위의 효력을 주장하는 자가 증명하여야 한다. ★★,O,입증책임 :중요부분의 착오→착오자(법률행위의 효력을 부인하려는 자) /중대한 과실→상대방(법률행위의 효력을 주장하려는 자) 
착오,83,표의자의 중대한 과실 유무는 착오에 의한 의사표시의 효력을 부인하는 자가 증명하여야 한다. ★★,X,입증책임 :중요부분의 착오→착오자(법률행위의 효력을 부인하려는 자) /중대한 과실→상대방(법률행위의 효력을 주장하려는 자) 
착오,84,착오자는 중요부분의 착오라는 사실과 자신에게 중과실이 없다는 사실을 입증해야 취소할 수 있다. ★★,X,입증책임 :중요부분의 착오→착오자(법률행위의 효력을 부인하려는 자) /중대한 과실→상대방(법률행위의 효력을 주장하려는 자) 
착오,85,"표의자가 경과실로 인하여 착오에 빠져 법률행위를 한 경우, 착오를 이유로 취소하는 것은 위법하다고 할 수 없다. ★",O,경과실 →취소O
착오,86,"법률에 관해 경과실로 착오를 한 경우, 표의자는 그것이 법률행위의 중요부분에 관한 것이더라도 그 착오를 이유로 취소할 수 없다. ",X,경과실 →취소O
착오,87,착오가 표의자의 중대한 과실로 인한 경우에는 상대방이 표의자의 착오를 알고 이용 하더라도 표의자는 의사표시를 취소할 수 없다. ,X,중대한 과실→ 상대방이 알고 이용 →취소O
착오,88,"부동산중개업자가 다른 점포를 매매 목적물로 잘못 소개하여 매수인이 매매목적물에 관하여 착오를 일으킨 경우, 매수인에게 중대한 과실은 인정되지 않는다. ",O,해설참조
착오,89,"공인중개사를 통하지 않고 토지거래를 하는 경우, 토지대장을 확인하지 않은 매수인은 중대한 과실이 인정된다. ",O,해설참조
착오,90,"타인의 기망에 의하여 중요부분의 착오가 발생한 경우, 표의자는 착오 또는 사기를 선택적으로 주장할 수 있다. ",O,사기 중요부분의 착오 →착오와 사기 경합→ 선택O
착오,91,"매매계약의 중요부분에 착오가 있는 경우, 매도인의 하자담보책임이 성립하는지와 상관 없이 매수인은 착오를 이유로 그 매매계약을 취소할 수 있다. ★★",O,착오와 담보책임→ 경합→ 착오를 이유로 취소O
착오,92,"물건의 하자로 매도인의하자담보책임이 성립하는경우, 매수인은 매매계약 내용의 중요부분에 착오가 있더라도 계약을 취소할 수 없다. ",X,착오와 담보책임→ 경합→ 착오를 이유로 취소O
착오,93,매도인이 매수인의 채무불이행을 이유로 매매계약을 적법하게 해제한 후에도 매수인은 착오를 이유로 그 매매계약을 취소할 수 있다. ★★,O,해제 후 취소O
착오,94,"매수인의 중도금 미지급을 이유로 매도인이 적법하게 계약을 해제한 경우, 매수인은 착오를 이유로 계약을 다시 취소할 수는 없다. ",X,해제 후 취소O
착오,95,"경과실로 인해 착오에 빠진 자가 매매계약을 취소한 경우, 상대방은 착오자에게 불법행위 책임을 물을 수 없다. ★★",O,착오→취소→손해→불법행위 X →손해배상 X 
착오,96,"표의자가 착오를 이유로 취소한 경우, 취소로 인해 손해를 입은 상대방은 불법행위를 이유로 손해배상을 청구할 수 있다. ★★",X,착오→취소→손해→불법행위 X →손해배상 X 
"사기, 강박 ",97,부작위에 의한 기망행위도 인정될 수 있다. ★,O,"부작위, 침묵 →사기O "
"사기, 강박 ",98,법률행위의 성립과정에 강박이라는 불법적 방법이 사용된 것에 불과한 때에는 반사회질서의 법률행위라고 할 수 없다. ★,O,"강박 :사회질서위반 X /비진의표시 X 
완전히 박탈시에는 무효 "
"사기, 강박 ",99,강박에 의해 증여의 의사표시를 하였다면 증여의 내심의 효과의사가 결여된 것으로 볼 수 있다.  ★,X,"강박 :사회질서위반 X /비진의표시 X 
완전히 박탈시에는 무효 "
"사기, 강박 ",100,강박행위의 주체가 국가 공권력이고 그 공권력의 행사의 내용이 기본권을 침해하는 것이면 그 강박에 의한 의사표시는 당연히 무효가 된다. ,X,"강박 :사회질서위반 X /비진의표시 X 
완전히 박탈시에는 무효 "
"사기, 강박 ",101,"부정한 이익의 취득을 목적으로 하더라도 정당한 권리 행사로서의 고소, 고발은 위법성이 부정되어 강박행위에 해당하지 않는다.★",X,"고소, 고발 →부정 또는 부당→ 위법성O→ 강박 "
"사기, 강박 ",102,강박행위의 목적이 정당한 경우에는 비록 그 수단이 부당하다고 하더라도 위법성이 인정될 여지가 없다. ★,X,"고소, 고발 →부정 또는 부당→ 위법성O→ 강박 "
"사기, 강박 ",103,제3자의 사기에 의해 의사표시를 한 표의자는 상대방이 그 사실을 알았거나 알 수 있었을 경우에 그 의사표시를 취소할 수 있다. ★,O,"•제3자에 의한 사기 강박 
*상대방이 알았거나 알 수 있었을 경우→ 과실 →취소O
*상대방이 선의무과실인 경우→ 무과실 취소 X 
*제3자에게 손해배상청구 →먼저 취소할 필요X "
"사기, 강박 ",104,". 표의자가 제3자의 사기로 의사표시를 한 경우, 상대방이 그 사실을 과실로 알지 못한 경우에는 표의자는 취소할 수 없다. ★",X,"•제3자에 의한 사기 강박 
*상대방이 알았거나 알 수 있었을 경우→ 과실 →취소O
*상대방이 선의무과실인 경우→ 무과실 취소 X 
*제3자에게 손해배상청구 →먼저 취소할 필요X "
"사기, 강박 ",105,"제3자의 사기로 계약을 체결한 경우, 표의자는 그 계약을 취소하지 않고 그 제3자에게 불법행위책임을 물을 수 있다. ★★",O,"•제3자에 의한 사기 강박 
*상대방이 알았거나 알 수 있었을 경우→ 과실 →취소O
*상대방이 선의무과실인 경우→ 무과실 취소 X 
*제3자에게 손해배상청구 →먼저 취소할 필요X "
"사기, 강박 ",106,"제3자의 사기로 계약체결한 경우, 표의자는 먼저 그 계약을 취소해야 제3자에게 불법행위 손해배상을 청구할 수 있다. ★★",X,"•제3자에 의한 사기 강박 
*상대방이 알았거나 알 수 있었을 경우→ 과실 →취소O
*상대방이 선의무과실인 경우→ 무과실 취소 X 
*제3자에게 손해배상청구 →먼저 취소할 필요X "
"사기, 강박 ",107,"제3자의 사기로 계약을 체결한 경우, 그 계약을 취소하지 않으면 그 제3자에게 손해배상을 청구할 수 없다. ★★",X,"•제3자에 의한 사기 강박 
*상대방이 알았거나 알 수 있었을 경우→ 과실 →취소O
*상대방이 선의무과실인 경우→ 무과실 취소 X 
*제3자에게 손해배상청구 →먼저 취소할 필요X "
"사기, 강박 ",108,"대리인의 기망행위에 의해 계약이 체결된 경우, 계약의 상대방은 본인이 선의이더라도 계약을 취소할 수 있다. ★★",O,대리인의 사기 강박→ 언제나 취소O
"사기, 강박 ",109,甲의 대리인 乙의 사기로 매수한 丙은 甲이 그 사실을 과실 없이 알지 못한 경우에는 사기를 이유로 매매를 취소할 수 없다. ★★,X,대리인의 사기 강박→ 언제나 취소O
"사기, 강박 ",110,"기망행위를 한 자가 상대방의 대리인인 경우, 상대방이 그 사실을 알았거나 알 수 있었을 경우에 한하여 의사표시를 취소할 수 있다. ★★",X,대리인의 사기 강박→ 언제나 취소O
"사기, 강박 ",111,"상대방의 대리인에 의한 사기는 제3자의 사기에 해당하지 않으나, 상대방의 피용자에 의한 사기는 제3자의 사기에 해당한다. ★",O,대리인의 사기 강박→ 언제나 취소O
"사기, 강박 ",112,제3자의 강박에 의한 의사표시에서 상대방의 대리인은 제3자에 포함되지 않는다. ,O,대리인의 사기 강박→ 언제나 취소O
"사기, 강박 ",113,기망에 의하여 하자 있는 물건을 매수한 매수인은 담보책임만을 주장할 수 있고 사기를 이유로 한 취소권을 행사할 수 없다. ,X,사기와 담보책임→ 경합(선택) 사기를 이유로 취소O
"사기, 강박 ",114,사기나 강박에 의한 소송행위는 원칙적으로 취소할 수 없다. ,O,"소송행위→ 착오, 사기, 강박→ 취소 X "
"사기, 강박 ",115,"소송대리인의 사무원의 착오로 소를 취하한 경우, 착오를 이유로 취소할 수 있다",X,"소송행위→ 착오, 사기, 강박→ 취소 X "
의사표시의 효력발생시기 ,116,의사표시가 기재된 내용증명우편이 발송되고 달리 반송되지 않았다면 특별한 사정이 없는 한 그 의사표시는 도달된 것으로 본다. ★,O,"내용증명우편, 등기우편 →도달 추정 / 보통우편 도달 추정 X "
의사표시의 효력발생시기 ,117,보통우편의 방법으로 발송된 의사표시는 상당기간 내에 도달하였다고 추정된다. ,X,"내용증명우편, 등기우편 →도달 추정 / 보통우편 도달 추정 X "
의사표시의 효력발생시기 ,118,"표의자가 그 통지를 발송한 후 제한능력자가 되었다면, 그 의사표시를 취소할 수 있다. ",X,"발신 후 표의자가 사망, 행위능력 상실 →효력 발생O"
의사표시의 효력발생시기 ,119,"표의자가 과실 없이 상대방을 알지 못하는 경우, 민사소송법 공시송달의 규정에 의하여 의사표시를 송달할 수 있다. ",O,해설참조
의사표시의 효력발생시기 ,120,표의자가 과실로 상대방을 알지 못하는 경우에는 민사소송법 공시송달의 규정에 의하여 의사표시의 효력을 발생시킬 수 있다. ,X,해설참조
